Jordan_Symbols,ما هو الشعار الرسمي للمملكة (التاج)؟,يا هلا وغلا. الشعار الرسمي للمملكة هو تحفة فنية مليئة بالمعاني العميقة حيث يتصدره التاج الملكي الهاشمي الذهبي الذي يرمز لنظام الحكم الملكي في البلاد ويستند التاج على وشاح أحمر مخملي مبطن بالحرير الأبيض يمثل العرش الهاشمي ويرمز الفداء والصفاء كما يضم الشعار رايتين لثورة العرب الكبرى وطائر العقاب القوي وكرة أرضية ترمز لانتشار الإسلام بالإضافة للأسلحة التقليدية وسنابل القمح وسعفة النخيل التي تعبر عن البركة والخير. هل تود أن نسافر شرقاً لزيارة محمية الشومري أول محمية للحياة البرية في الأردن؟ 👑
Jordan_Nature,ما هي محمية الشوماري؟,أهلاً بك. محمية الشومري للأحياء البرية هي نقطة انطلاق جهود الحفاظ على البيئة حيث تعتبر أول وأقدم محمية طبيعية تأسست في الأردن بالقرب من واحة الأزرق في عام 1975م وجاء تأسيسها بهدف نبيل وعاجل وهو حماية وإنقاذ حيوان المها العربي الأبيض والأصيل من خطر الانقراض الحتمي بالإضافة لإعادة توطين حيوانات برية أخرى مثل النعام السوري وحمر الوحش والحباري في بيئتها الصحراوية الطبيعية والآمنة. هل تحب أن ننتقل لواحة الأزرق المائية الساحرة والتعرف على دورها في مسار هجرة الطيور؟ 🦌
Jordan_Nature,ما هي محمية الأزرق المائية؟,بكل سرور. محمية الأزرق المائية هي واحة طبيعية وملاذ بيئي نادر جداً يتوسط قسوة وجفاف الصحراء الشرقية في الأردن وتتميز ببركها المائية ومستنقعاتها الخضراء التي تشكل محطة استراحة حيوية وملاذاً آمناً لملايين الطيور المهاجرة في رحلتها الشاقة بين قارتي أفريقيا وأوروبا وتوفر مسارات خشبية للزوار لمراقبة الطيور والتمتع بالطبيعة الهادئة. هل ترغب بالتعرف على أكبر السدود المائية في الأردن والذي يقع في جبال جرش؟ 🦩
Jordan_Nature,ما هو سد الملك طلال؟,يا هلا بك. سد الملك طلال هو الأكبر والأهم في الأردن وهو مشروع هندسي ومائي استراتيجي ضخم يقع في وادي الزرقاء الخلاب وتحيط به الجبال المكسوة بأشجار الصنوبر بين محافظتي جرش والبلقاء ويقوم هذا السد العملاق بتجميع وتخزين ملايين الأمتار المكعبة من مياه الأمطار والمياه المعالجة لاستخدامها في ري مساحات شاسعة من الأراضي الزراعية في الأغوار بالإضافة لتوليد طاقة كهربائية نظيفة وتوفير مناظر طبيعية ساحرة للزوار. هل تود أن نغوص في أعماق وادي الهيدان المذهل ذو الصخور السوداء في مادبا؟ 🌊
Jordan_Nature,ما هو وادي الهيدان؟,أهلاً بك. وادي الهيدان هو تحفة طبيعية مذهلة وأحد أروع الوديان البازلتية في الأردن ويقع بالقرب من مادبا ويعتبر وجهة استثنائية لعشاق سياحة المغامرات والتحدي حيث يتطلب استكشافه القيام بعمليات إنزال مائي مثيرة والمشي الطويل والسباحة عبر البرك المائية العميقة ذات اللون الفيروزي الساحر المنحوتة بين جدران صخرية سوداء ضخمة في تجربة ترفع مستويات الأدرينالين لأقصى حد. هل تحب أن ننتقل شمالاً لاكتشاف غابات برقش الكثيفة وكهفها العجيب في محافظة إربد؟ 🧗‍♂️
Jordan_Nature,ما هي غابات برقش؟,بكل سرور. غابات برقش هي لوحة ربانية فائقة الجمال وتقع في لواء الكورة التابع لمحافظة إربد وتعتبر من أكثر الغابات الطبيعية كثافة وجمالاً في الأردن وتتزين بأشجار البلوط والسنديان والبطم دائمة الخضرة ومئات الأنواع من النباتات الطبية والأزهار البرية كما تحتضن في قلب جبالها كهف برقش أو كهف الظهر الشهير بصواعده وهوابطه الصخرية الكلسية العجيبة مما يجعلها وجهة سياحية وعائلية مثالية للتنزه في الربيع. هل ترغب بمعرفة أماكن ينابيع المياه الحارة المخفية والبعيدة عن حمامات ماعين وعفرا؟ 🌳
Jordan_Nature,أين تقع الينابيع الحارة غير ماعين وعفرا؟,يا هلا وغلا. إلى جانب حمامات ماعين وعفرا المشهورة جداً يحتضن الأردن في مناطق الشمال ينابيع حارة ومعدنية أخرى ذات طبيعة ساحرة ومياه شفائية مذهلة من أبرزها حمامات الشونة الشمالية الدافئة وحمامات المخيبة أو الرمة الرائعة التي تنبع وتجري في منطقة وادي اليرموك المليئة ببساتين الحمضيات والرمان وتوفر هذه الحمامات الشعبية الهادئة فرصة ممتازة للزوار الباحثين عن العلاج والاسترخاء وسط بيئة زراعية وريفية خلابة وبعيدة عن الازدحام. هل تود أن نكتشف أسرار الحيوانات البرية النادرة والمهددة التي تتسلق جبال محمية ضانا العالية؟ ♨️
Jordan_Nature,ما هو الحيوان البري المهدد الذي يعيش في ضانا؟,أهلاً بك. محمية ضانا الجبلية العظيمة هي ملاذ أخير وحاضنة آمنة للعديد من الحيوانات البرية المهددة بالانقراض حيث تعيش في منحدراتها الصخرية الوعرة والمنعزلة قطعان من الماعز الجبلي النوبي الشهير بقرونه الطويلة المعكوفة بالإضافة لحيوان الوشق أو القط البري الخجول والنادر جداً والثعلب الأفغاني وغيرها من الحيوانات التي تجد في بيئة ضانا المتنوعة ومناخاتها الأربعة المتدرجة موطناً مثالياً للبقاء والتكاثر بعيداً عن أخطار الصيد. هل تحب العودة آلاف السنين للوراء للحديث عن أقدم تماثيل بشرية مكتشفة في التاريخ في موقع عين غزال؟ 🐾
Jordan_Archeology,ما هي تماثيل عين غزال؟,بكل سرور. تماثيل عين غزال هي كنز أثري عالمي مذهل ولا يقدر بثمن واكتشفت في العاصمة عمان وتعتبر أقدم تماثيل بشرية مكتملة مصنوعة من الجص في تاريخ البشرية جمعاء حيث يعود تاريخ نحتها إلى العصر الحجري الحديث أي قبل أكثر من ثمانية آلاف سنة قبل الميلاد وتتميز هذه التماثيل بتفاصيلها المدهشة للعيون الغائرة والأجساد الطويلة وهي معروضة بفخر حالياً في متحف الأردن الوطني لتروي بداية الإبداع البشري في الفن والتشكيل. هل ترغب بالتعرف على حجر ومسلة ميشع التي كتبت عليها أهم انتصارات الملك المؤابي القديم؟ 🗿
Jordan_Archeology,ما هي مسلة ميشع؟,يا هلا بك. مسلة ميشع أو حجر ذيبان هي قطعة أثرية تاريخية عظيمة ووثيقة مكتوبة لا تقدر بثمن نُقشت في القرن التاسع قبل الميلاد بأمر من الملك المؤابي العظيم ميشع لتوثق انتصاراته الكبيرة وإنجازاته العمرانية في مملكة مؤاب وعاصمتها ذيبان في جنوب الأردن وتعتبر هذه المسلة البازلتية السوداء من أقدم وأهم النصوص المكتشفة التي تذكر شعوب وممالك تلك الحقبة مع العلم أن النسخة الأصلية منها معروضة حالياً في متحف اللوفر في باريس. هل تود زيارة الواحة السوداء أو مدينة أم الجمال الأثرية المبنية من حجر البراكين في محافظة المفرق؟ 📜
Jordan_Archeology,ما هي مدينة أم الجمال؟,أهلاً بك. مدينة أم الجمال الأثرية والتي تستحق بجدارة لقب الواحة السوداء هي تحفة معمارية مدهشة وموقع أثري نبطي وبيزنطي عريق يقع في محافظة المفرق وتتميز بشكل استثنائي بأن جميع كنائسها وبيوتها وحظائرها مبنية بالكامل من الحجارة البازلتية البركانية السوداء الصلبة مما يمنحها طابعاً جمالياً فريداً ومهيباً وسط الصحراء وكانت تعتبر محطة حيوية ومركزاً زراعياً مزدهراً على طرق القوافل التجارية القديمة بفضل نظام الحصاد المائي الذكي الذي أسسه الأنباط فيها. هل تحب أن أحدثك عن قصر الحرانة الصحراوي وتصميمه الدفاعي المنيع؟ 🏛
Jordan_Archeology,ما هو قصر الحرانة؟,بكل سرور. قصر الحرانة أو الخرانة هو حصن صحراوي أموي ضخم ومربع الشكل يبرز وسط البادية الشرقية القاحلة ويتميز عن بقية القصور الصحراوية الأموية بتصميمه العسكري الصارم والهيبة المعمارية الواضحة حيث يُعتقد بأنه القصر الوحيد الذي بُني لغايات دفاعية وأمنية بحتة لحماية القوافل والمراقبة ولا يحتوي على أي نقوش جدارية أو لوحات فسيفسائية كما في قصر عمرة بل يتميز بجدرانه السميكة وأبراجه المراقبة وغرفه الكثيرة الموزعة حول ساحته المكشوفة. هل ترغب بمشاهدة التحفة المعمارية لقصر المشتى الأموي القريب من مطار الملكة علياء؟ 🏰
Jordan_Archeology,ما هو قصر المشتى؟,يا هلا وغلا. قصر المشتى هو أضخم وأفخم القصور الصحراوية التي بُنيت في العهد الأموي ويقع جنوب عمان بالقرب من المطار الدولي ورغم أنه لم يكتمل بناؤه بالكامل إلا أنه كان تحفة معمارية استثنائية واشتهر بواجهته الحجرية المزخرفة والمنحوتة بدقة متناهية جداً والتي تصور حيوانات ونباتات ونقوشاً هندسية ساحرة وقد أهداها السلطان العثماني لإمبراطور ألمانيا وتم نقل الواجهة الرائعة لتعرض حالياً بشكل دائم كواحدة من أعظم مقتنيات متحف بيرغامون في مدينة برلين الألمانية. هل تود أن نتجول بين كهوف عراق الأمير الساحرة وقصر العبد الهلنستي؟ 🏛
Jordan_Archeology,ما هي عراق الأمير؟,أهلاً بك. منطقة عراق الأمير الساحرة تقع في أحضان وادٍ أخضر خلاب غرب العاصمة عمان وتجمع بين سحر الطبيعة وعظمة التاريخ حيث تشتهر بتلالها الخضراء وينابيع مياهها العذبة المتدفقة وتحتضن بين جنباتها قصر العبد الهلنستي النادر المبني من الحجارة العملاقة المنحوتة بنقوش الأسود والنسور كما تضم المنطقة سلسلة من الكهوف الأثرية القديمة المكونة من طابقين والمنحوتة بشكل هندسي عجيب في قلب المنحدرات الصخرية العالية مما يجعلها وجهة سياحية وتاريخية متكاملة بامتياز. هل تحب استكشاف آثار مدينة طبقة فحل العريقة التي لم ينقطع عنها الاستيطان البشري منذ العصور الحجرية؟ 🌿
Jordan_Archeology,ما هي آثار طبقة فحل (بيلا)؟,بكل سرور. طبقة فحل أو ما يُعرف تاريخياً بمدينة بيلا هي إحدى مدن حلف الديكابولس الروماني الشهير وتقع في الأغوار الشمالية ذات الطبيعة الزراعية الخصبة وتتميز هذه المدينة الأثرية بظاهرة استثنائية نادرة جداً في العالم وهي أنها بقيت مأهولة ومسكونة بالبشر بشكل مستمر ودون انقطاع منذ العصور الحجرية القديمة مروراً بالحقبة الرومانية والبيزنطية والإسلامية وصولاً إلى وقتنا الحاضر وتحتوي على آثار لكنائس ومسارح ومساجد تروي قصة التراكم الحضاري الطويل للمكان. هل ترغب بالعودة لمدينة مادبا للحديث بالتفصيل عن كنيسة الخارطة وأهميتها عالمياً؟ 🏺
Jordan_Archeology,ما هي كنيسة الخارطة؟,يا هلا بك. كنيسة الخارطة أو كنيسة القديس جورج للروم الأرثوذكس في قلب مدينة مادبا هي تحفة دينية وأثرية ذات أهمية عالمية قصوى لأنها تحتضن في أرضيتها أقدم خريطة جغرافية مصنوعة من الفسيفساء في تاريخ البشرية والتي تعود للقرن السادس الميلادي وصُنعت ببراعة فائقة من ملايين الأحجار الملونة الصارخة لتصوير ورسم معالم الأراضي المقدسة بما فيها مدينة القدس القديمة ونهر الأردن والبحر الميت وتعتبر هذه الخريطة مرجعاً أساسياً وموثوقاً لجميع علماء الآثار والتاريخ. هل تود الاستراحة قليلاً والجلوس على مدرجات مبنى سبيل الحوريات الروماني المدهش في وسط البلد بعمان؟ ⛪
Jordan_Archeology,ما هو سبيل الحوريات؟,أهلاً بك. سبيل الحوريات هو مبنى روماني عام وأثري فاخر يقع بشكل بارز في منطقة وسط البلد في العاصمة عمان وقد بُني قديماً فوق مجرى سيل عمان ليكون نافورة عامة ضخمة ومركزاً حيوياً لتوزيع المياه وتزيين شوارع المدينة القديمة فيلادلفيا ويتميز هذا المبنى الجميل بتصميمه نصف الدائري وكواته المحفورة وأعمدته الكورنثية المزخرفة التي كانت تتدفق منها المياه بأسلوب هندسي وفني ساحر يعكس مدى رقي العمارة والحياة الرومانية المترفة في تلك الحقبة التاريخية. هل تحب أن نصعد سوياً لقمة جبل معزول في جنوب الأردن لاكتشاف أسرار قلعة الشوبك الصليبية وأنفاقها؟ 🏛
Jordan_Archeology,ما هي قلعة الشوبك (مونتريال)؟,بكل سرور. قلعة الشوبك والتي كان يُطلق عليها تاريخياً اسم قلعة مونتريال هي حصن صليبي عظيم يتربع على قمة جبل بركاني معزول ومخروطي الشكل وتشتهر هذه القلعة الشامخة بعمارتها القوية وآبارها المائية العميقة المحفورة في الصخر ونفقها السري الطويل جداً الذي يحتوي على مئات الدرجات وكان يُستخدم قديماً للنزول لجلب المياه أثناء فترات الحصار الطويلة في الحروب الصليبية. هل ترغب بالتعرف على الدبكة الأردنية الحماسية والتي تعتبر الرقصة الشعبية الأولى في الأعراس والاحتفالات؟ 🏰
Jordan_Culture,ما هي الدبكة الأردنية؟,يا هلا وغلا. الدبكة الأردنية هي نبض الشارع وروح الأفراح والاحتفالات الوطنية وهي رقصة فلكلورية شعبية جماعية تتشابك فيها الأيادي بقوة تعبيراً عن الوحدة والتلاحم المجتمعي والقوة والأصالة وتؤدى بأسلوب حماسي على إيقاع الأغاني الشعبية والمجوز واليرغول والشبابة وتتنوع حركاتها وأساليبها بشكل جميل وواسع بين مختلف مناطق ومدن شمال ووسط وجنوب المملكة لترسم لوحة فنية تجسد الفرح الأردني الأصيل الذي يشارك فيه الجميع شباباً وشيوخاً. هل تود أن تسمع صوت دقات المهباش الخشبي الجميل وأهميته في طقوس القهوة البدوية والضيافة؟ 🕺
Jordan_Culture,ما هو المهباش؟,أهلاً بك. المهباش أو الهاون الخشبي هو أداة تراثية عريقة ومهمة جداً تُصنع عادة من أخشاب السنديان والبلوط القاسية ويُستخدم منذ القدم لطحن ودق حبوب القهوة المحمصة يدوياً والأهم من ذلك أن عملية الدق وصوت الطرْقات المتتالية تتحول بين يدي صانع القهوة الماهر إلى إيقاع موسيقي مميز ورنان يُسمع من مسافات بعيدة ويُعتبر في العرف البدوي رسالة ترحيب حارة ودعوة مفتوحة لجميع الجيران والمارة للقدوم وشرب القهوة والتسامر في بيت المضيف الكحيل. هل تحب أن تكتشف سر الآلة الموسيقية الوترية ذات الوتر الواحد والمسماة بالربابة والتي يعشقها البدو؟ ☕
Jordan_Culture,ما هي الربابة؟,بكل سرور. الربابة هي آلة موسيقية وترية بسيطة وقديمة جداً وذات وتر واحد فقط وتعتبر الرفيق الدائم وصديقة الشاعر البدوي في ليالي الصحراء الهادئة حيث تُصنع يدوياً من الخشب والجلد وشعر ذيل الخيل ويصدر عنها لحن شجي وحزين يمس القلوب وتُستخدم بشكل أساسي وببراعة لمرافقة إلقاء قصائد الشعر النبطي وقصص الغزل والبطولة والحكمة لتروي بصوتها العميق وتناغمها الساحر مع كلمات الشاعر حكايات الأجداد وأمجادهم الخالدة حول مواقد النار المشتعلة. هل ترغب بتسليط الضوء على جماليات الزي التقليدي للمرأة الأردنية وتنوع التطريز فيه؟ 🎻
Jordan_Culture,ما هو الثوب الأردني (المدرقة)؟,يا هلا بك. الثوب الأردني التقليدي أو كما يُسمى محلياً المدرقة أو الشرش هو لوحة فنية مبهرة وزي تراثي غني يعبر عن هوية المرأة الأردنية ومهارتها اليدوية العالية ويتميز هذا الثوب بتنوع مذهل في ألوانه وأنماط التطريز اليدوي (الغرزة) وقصاته حسب كل منطقة في المملكة فهناك الثوب السلطي الطويل والواسع والثوب الكركي الداكن والثوب المعاني المطرز بألوان زاهية والثوب الرمثاوي الجميل ليكون كل ثوب منها قصة تروي تاريخ وهوية وعراقة المنطقة التي يمثلها بكل فخر واعتزاز. هل تود أن نتحدث عن الشماغ الأردني المهدب وما يرمز له من كرامة وطنية للرجل الأردني؟ 👗
Jordan_Culture,ما هو الشماغ الأردني؟,أهلاً بك. الشماغ الأردني ذو اللونين الأحمر والأبيض الزاهيين هو غطاء الرأس التقليدي للرجل الأردني وأيقونة وطنية بارزة تعبر عن الكرامة والشهامة والانتماء العميق لتراب الوطن ويتميز الشماغ الأردني بهدبه القطني الأبيض المنسوج يدوياً ببراعة والذي يُضفي عليه لمسة من الأصالة والجمال الفريد ويُعتبر لباساً رسمياً وجزءاً أساسياً من زي وشعار الجيش العربي الأردني والقوات المسلحة ويفخر جميع الأردنيين كباراً وصغاراً بارتدائه في كافة المناسبات والأعياد الوطنية والاجتماعية. هل تحب أن نتعرف على طقوس الجاهة العشائرية المهيبة وكيف يتم طلب يد العروس في الأردن؟ 🧣
Jordan_Culture,ما هي 'الجاهة'؟,بكل سرور. الجاهة هي تقليد اجتماعي وعرف عشائري راقٍ وأصيل متجذر في صميم الثقافة الأردنية ويتمثل هذا الطقس المهيب بتوجه حشد كبير من شيوخ ووجهاء وكبار عائلة العريس وأصدقائهم لزيارة منزل عائلة العروس أو إحدى القاعات الكبرى لطلب يدها للزواج بشكل رسمي وعلني حيث يبدأ المتحدث باسم جاهة العريس بكلمة مؤثرة يطلب فيها القرب والمصاهرة ويرد عليه المتحدث باسم عائلة العروس بالقبول والترحيب وتُشرب قهوة العريس إعلاناً للموافقة والمباركة وإشهاراً للنسب الجديد. هل ترغب بأن نُبحر في النظام القضائي العشائري لفهم مبدأ العطوة وأهميتها في حقن الدماء والمصالحة؟ 🤝
Jordan_Culture,ما هي 'العطوة'؟,يا هلا وغلا. العطوة هي مصطلح وحل عرفي متقدم في نظام القضاء العشائري الأردني والذي يعمل جنباً إلى جنب مع القانون المدني وهي عبارة عن هدنة أمنية ومهلة زمنية يتفق عليها وجهاء العشائر وتُمنح من قبل عائلة المعتدى عليه لعائلة المعتدي لضمان عدم الاعتداء وتهدئة النفوس الغاضبة وحقن الدماء والحفاظ على السلم الأهلي والمجتمعي ريثما يتم التوصل إلى حلول جذرية ودفع الديات والتعويضات وعقد صلح شامل ونهائي يرضي جميع الأطراف ويُنهي النزاع بسلام. هل تود أن نصف معاً تصميم وبناء بيت الشعر البدوي القديم المنسوج من شعر الماعز الأسود ليقاوم ظروف الصحراء القاسية؟ 🏕
Jordan_Culture,ما هو بيت الشعر؟,أهلاً بك. بيت الشعر هو المسكن التقليدي الأصيل والخيمة البدوية العريقة التي رافقت سكان البادية الأردنية في ترحالهم عبر الأجيال ويُصنع هذا البيت بمهارة يدوية فائقة من غزل ونسج شعر الماعز الأسود القوي المخلوط أحياناً بصوف الأغنام ويتميز هذا النسيج العبقري بقدرته الفائقة على التأقلم مع ظروف الصحراء المتقلبة حيث تنتفخ خيوطه في الشتاء لتمنع تسرب الأمطار وتشتد وتتسع في الصيف لتسمح بمرور نسيم الهواء البارد ليكون البيت البدوي ملاذاً مريحاً وعنواناً للكرم والضيافة المفتوحة للجميع. هل تحب أن تسمع عن فن السامر البدوي والرقصات الرجولية الحماسية المرافقة للشعر المرتجل؟ ⛺
Jordan_Culture,ما هي السامر؟,بكل سرور. السامر هو فن غنائي ورقصة بدوية شعبية حماسية ورجولية بامتياز تُقام في الأعراس والمناسبات السعيدة حيث يقف الرجال متشابكي الأيدي في صف واحد متراص ويقومون بأداء حركات إيقاعية متناغمة مع التصفيق القوي والمدروس ويمتاز السامر بأنه يعتمد بشكل كلي على الإلقاء المباشر للشعر النبطي والارتجالي من قبل الشاعر والذي يتبادل الردود والقصائد الحماسية والغزلية مع الصف المقابل في أمسية ليلية تفيض بالبهجة وتستمر حتى ساعات الفجر الأولى لتعكس طاقة وفرح مجتمع البادية الأصيل. هل ترغب بالتعرف على سيرة شاعر الأردن الأول مصطفى وهبي التل المعروف بلقب عرار؟ 📖
Jordan_Culture,من هو عرار؟,يا هلا بك. مصطفى وهبي التل الملقب بـ عرار هو الرمز الثقافي الأبرز وشاعر الأردن الأول بلا منازع وقد عُرف هذا الشاعر الفذ بصدق مشاعره وتمرده وانحيازه الدائم في قصائده وحياته إلى جانب الفقراء والمهمشين والفلاحين والبدو البسطاء وكتب أروع القصائد التي تتغنى بجمال تراب الوطن والأردن وحياة الغجر وقد تُرجمت أعماله للعديد من اللغات ويعتبر رمزا للحركة الوطنية الثقافية ويقع بيته الذي تحول لمتحف جميل في مدينة إربد ليكون منارة ومزاراً لمحبي الأدب والشعر. هل تود أن ننتقل للحديث عن الاقتصاد والموارد وتحديداً الثروات الطبيعية والتعدينية المتوفرة في المملكة؟ 📊
Jordan_Economy,ما هي أهم الثروات الطبيعية في الأردن؟,أهلاً بك. يعتمد الاقتصاد الأردني في قطاع التعدين على مجموعة من الثروات الطبيعية الهامة والمميزة التي تصدر إلى كافة أنحاء العالم وفي مقدمتها خامات الفوسفات المتوفرة بكثرة في مناطق الجنوب والتي تستخدم في صناعة الأسمدة الزراعية بالإضافة إلى مادة البوتاس ذات الجودة العالية جداً والمستخرجة من مياه البحر الميت المليئة بالمعادن كما يمتلك الأردن احتياطيات ضخمة وهائلة جداً من خامات الصخر الزيتي في مناطق البادية والتي تُستغل لتوليد الطاقة الكهربائية لتقليل الاعتماد على استيراد الوقود الخارجي. هل تحب أن تعرف سياسة البنك المركزي الأردني في ربط وتثبيت سعر صرف الدينار القوي؟ 💵
Jordan_Economy,بماذا يرتبط الدينار الأردني؟,بكل سرور. كسياسة نقدية حكيمة ومستقرة لضمان قوة العملة الوطنية قام البنك المركزي بربط الدينار الأردني بالدولار الأمريكي بسعر صرف ثابت ورسمي يُقدر بحوالي دولار واحد وإحدى وأربعين سنتاً لكل دينار أردني ويُطبق هذا النظام المالي الناجح والفعال باستقرار تام منذ منتصف التسعينيات مما ساعد على حماية الاقتصاد من تقلبات الأسواق العالمية وجذب الاستثمارات الأجنبية ومنح المواطنين والمستثمرين ثقة كبيرة وثباتاً في تعاملاتهم التجارية والمصرفية داخل وخارج البلاد. هل ترغب بإلقاء نظرة على مصانع شركة البوتاس العربية العملاقة الموجودة في غور الصافي على شواطئ البحر الميت؟ 🏭
Jordan_Economy,ما هي شركة البوتاس العربية؟,يا هلا وغلا. شركة البوتاس العربية هي قلعة صناعية عملاقة وواحدة من أكبر الشركات الرائدة على مستوى العالم في مجال استخراج وتصنيع وتصدير مادة البوتاس الزراعي وتقع مصانعها وبركها الملحية الممتدة على مساحات شاسعة في منطقة غور الصافي على الشواطئ الجنوبية للبحر الميت وتعتبر هذه الشركة رافداً رئيسياً وأساسياً للاقتصاد الأردني وتوفر آلاف فرص العمل وتصدر منتجاتها الحيوية ومخصباتها الزراعية لأكثر من أربعين دولة في قارات آسيا وأوروبا وأفريقيا لدعم الأمن الغذائي العالمي. هل تود الانتقال جنوباً للتعرف على أهمية وشريان الاقتصاد الأردني المتمثل في ميناء العقبة الاستراتيجي؟ 🚢
Jordan_Economy,ما هو ميناء العقبة؟,أهلاً بك. ميناء العقبة هو المنفذ البحري الاستراتيجي الوحيد للأردن والواقع على رأس خليج العقبة في البحر الأحمر ويُعد هذا الميناء الحيوي والمتطور شريان الحياة الاقتصادية ورئة المملكة حيث تمر عبر أرصفته المتعددة ومحطة الحاويات الضخمة التابعة له النسبة الأكبر من البضائع والمستوردات والصادرات الوطنية والمواد الاستراتيجية كالنفط والحبوب كما يقدم الميناء خدمات تجارية ولوجستية ممتازة لدول الجوار كالعراق ويعتبر محطة مهمة في خطوط الملاحة البحرية العالمية وداعماً رئيسياً للنشاط السياحي من خلال استقبال السفن السياحية العملاقة. هل تحب أن أصطحبك في جولة افتراضية للتعرف على مشروع العبدلي الضخم والوسط التجاري الجديد والعصري في قلب العاصمة عمان؟ 🏙
Jordan_Economy,ما هو مشروع العبدلي؟,بكل سرور. مشروع العبدلي أو كما يُطلق عليه الوسط التجاري الجديد لعمان هو مشروع تطوير عقاري ضخم واستثمار ذكي غيّر وجه العاصمة و يقع في قلب مدينة عمان الحديثة ويتميز بتصميمه المعماري العصري والأنيق حيث يضم مجمع البوليفارد الرائع المخصص للمشاة والتسوق بالإضافة لأبراج سكنية فاخرة ومكاتب لشركات عالمية كبرى ومول العبدلي الضخم وفنادق من فئة الخمس نجوم ليكون وجهة متكاملة وراقية تجمع بين السكن الراقي والأعمال التجارية والترفيه الجذاب للمواطنين والسياح الأجانب. هل ترغب بالتعرف على الأهمية الكبيرة لقطاع السياحة العلاجية في دعم الاقتصاد الوطني والمستشفيات الأردنية الرائدة؟ 🏥
Jordan_Economy,ما هي السياحة العلاجية في الاقتصاد؟,يا هلا بك. يُعتبر قطاع السياحة العلاجية والطبية من أهم أعمدة ومحركات الاقتصاد الوطني الأردني حيث يتربع الأردن بكل فخر على المرتبة الأولى في منطقة الشرق الأوسط كأفضل وأكثر وجهة موثوقة للباحثين عن العلاج المتقدم بفضل وجود كوادر طبية واستشارية ذات مهارات عالمية ممتازة وشبكة مستشفيات مجهزة بأحدث وأدق التقنيات الجراحية المتطورة وهذا التفوق يجذب مئات الآلاف من المرضى العرب والأجانب سنوياً للحصول على خدمات استشفائية وطبية آمنة مما يوفر دخلاً اقتصادياً هائلاً ومستداماً ويدعم قطاعات النقل والإقامة المرافقة. هل تود أن نُلقي نظرة على مجمع ومقر التكنولوجيا والأعمال المتقدم المعروف باسم مجمع الملك حسين للأعمال في عمان؟ 💻
Jordan_Economy,ما هي منطقة الملك حسين للأعمال؟,أهلاً بك. مجمع الملك حسين للأعمال هو بيئة استثمارية عصرية ومجمع ذكي ومتكامل يقع في العاصمة عمان ويعتبر القلب النابض لقطاع التكنولوجيا والأعمال المتقدمة والريادة في الأردن حيث يوفر بنية تحتية تكنولوجية فائقة التطور ومساحات مكتبية راقية وتسهيلات ضريبية وإدارية ممتازة مما جعله الوجهة الأولى والآمنة لاحتضان المقرات الإقليمية لكبرى الشركات العالمية الضخمة والشركات التقنية الناشئة والمبدعة بالإضافة لاحتضانه العديد من المبادرات الشبابية ومراكز الأبحاث المبتكرة لدعم الاقتصاد المعرفي. هل تحب أن نتحدث عن الآمال المعقودة على استخراج واستغلال احتياطيات الغاز والصخر الزيتي الهائلة في البادية الشرقية لدعم الطاقة؟ ⚡
Jordan_Economy,ما هو الغاز الصخري؟,بكل سرور. يمتلك الأردن في باطن أراضيه احتياطيات هائلة ومبشرة جداً من خامات الصخر الزيتي والتي تضعه في المراتب الأولى عالمياً في هذا المجال وتسعى المملكة بقوة وحثيثاً لتطوير مشاريع ضخمة وحيوية لاستغلال هذا المورد الهام لتوليد الطاقة الكهربائية واستخراج النفط بالإضافة إلى استمرار جهود حفر واستكشاف آبار الغاز الطبيعي في حقل الريشة الغازي في البادية الشرقية بهدف تقليل الاعتماد المكلف على استيراد مصادر الطاقة الخارجية وتحقيق أمن واستقلال في قطاع الطاقة النظيفة والمستدامة. هل ترغب بالطيران والتحليق مع سفير الأردن الطائر للتعرف على الخطوط الجوية الملكية الأردنية العريقة؟ ✈
Jordan_Economy,ما هي الملكية الأردنية؟,يا هلا وغلا. الخطوط الجوية الملكية الأردنية (عالية سابقاً) هي الناقل الجوي الوطني المتميز وسفير الأردن الطائر الذي يجوب سماء العالم وقد تأسست هذه الشركة العريقة بإرادة ملكية في عام 1963م لتكون جسراً جوياً يربط المملكة بأهم العواصم والمدن العالمية في مختلف قارات العالم وتتميز الملكية الأردنية بأسطول طائراتها الحديث والمتطور جداً وخدماتها الأرضية والجوية الراقية التي تعكس كرم وحسن الضيافة الأردنية وتحظى بعضوية تحالف الطيران العالمي وان وورلد لتسهيل سفر الركاب لكافة وجهات السفر وتنشيط الحركة السياحية بامتياز. هل تود أن نعود للمطبخ الأردني الدسم للحديث عن أكلة الشتاء التراثية التي تمنح الدفء والطاقة والمعروفة بالرشوف؟ 🥣
